name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
london,2022-05-25,18.5,9.5,14,18.5,7.9,13.9,9.3,73.9,0.201,100,8.33,rain,0,0,58,31,242,1013.1,54,21,93.9,8,3,10,2022-05-25T04:55:52,2022-05-25T20:59:55,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-05-26,19.6,10.5,15.5,19.6,10.5,15.5,10.9,74.9,0,0,0,rain,0,0,53.6,29.2,253.9,1020.8,67.8,19.4,107.8,9.2,3,10,2022-05-26T04:54:47,2022-05-26T21:01:12,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-05-27,20.3,13.1,16.4,20.3,13.1,16.4,7.7,59.5,0,0,0,,0,0,33.1,21.6,302.5,1023.9,46,18.8,193,16.6,9,10,2022-05-27T04:53:44,2022-05-27T21:02:26,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-05-28,17.8,10.1,14.1,17.8,10.1,14.1,4.9,54.5,0,0,0,rain,0,0,30.6,17.8,15.1,1024.8,33.9,21.3,150.1,13.1,7,10,2022-05-28T04:52:44,2022-05-28T21:03:40,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-05-29,16.1,8.6,12.5,16.1,7.4,12.3,4.3,58.1,0,0,0,rain,0,0,43.2,17.8,23.5,1019.3,34.6,21.1,138.8,12,6,10,2022-05-29T04:51:47,2022-05-29T21:04:51,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-05-30,15,6.8,11.1,15,6.8,11.1,6.6,74.9,2.197,100,16.67,rain,0,0,31.7,22.3,202.2,1013.6,53.7,20.3,91.8,7.9,4,10,2022-05-30T04:50:52,2022-05-30T21:06:01,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03680099999,D5621,03781099999,03672099999,F6665,03772099999,03770099999"
london,2022-05-31,16.1,9.1,11.6,16.1,7.9,11.4,8.8,84.1,8.597,100,41.67,rain,0,0,39.2,15.2,242.6,1012.2,60.2,18.5,124.7,10.9,6,10,2022-05-31T04:50:00,2022-05-31T21:07:08,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-06-01,18.1,7.8,12.9,18.1,6.7,12.6,7.5,72.5,0.201,100,8.33,rain,0,0,32.4,11.4,310.7,1016.7,54.3,20.6,109.7,9.4,5,10,2022-06-01T04:49:11,2022-06-01T21:08:14,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-06-02,19.6,9.6,15.3,19.6,9.6,15.3,8.4,65.8,0,0,0,,0,0,27.7,16.7,114,1019.8,14.6,21,213.3,18.5,9,10,2022-06-02T04:48:25,2022-06-02T21:09:18,0.1,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-06-03,23.3,11.5,17.1,23.3,11.5,17.1,9.3,62.4,0,0,0,,0,0,37.1,20.5,73.7,1017.8,44.9,18,185.5,15.8,6,10,2022-06-03T04:47:42,2022-06-03T21:10:19,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-06-04,20.8,12.8,15.9,20.8,12.8,15.9,9,64.6,0.007,100,4.17,rain,0,0,53.6,25,62.9,1019.9,55.4,16.9,139.3,12.1,8,10,2022-06-04T04:47:01,2022-06-04T21:11:18,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,F6665,03772099999,03770099999"
london,2022-06-05,15.6,10.8,13.3,15.6,10.8,13.3,11.5,88.8,8,100,37.5,rain,0,0,36.4,18.2,8.6,1016,95.4,7.8,38.9,3.1,1,10,2022-06-05T04:46:23,2022-06-05T21:12:15,0.2,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03680099999,D5621,03781099999,03672099999,F6665,03772099999,03770099999"
london,2022-06-06,18,12.1,14.4,18,12.1,14.4,11.8,85,2.212,100,37.5,rain,0,0,28.1,15.6,258.4,1014.4,81.8,14.2,71.3,6.1,3,10,2022-06-06T04:45:48,2022-06-06T21:13:10,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-06-07,21.1,10.4,16.6,21.1,10.4,16.6,11.7,73.8,0.001,100,4.17,rain,0,0,31,18.5,206.9,1011.7,54.1,19.6,160.3,13.7,10,10,2022-06-07T04:45:17,2022-06-07T21:14:02,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,F6665,03772099999,03770099999"
london,2022-06-08,22.1,14.3,17.8,22.1,14.3,17.8,11.3,68.3,1.394,100,16.67,rain,0,0,46.4,33.3,257.2,1005.7,60.2,15.7,115.9,9.7,6,10,2022-06-08T04:44:48,2022-06-08T21:14:52,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03680099999,D5621,03781099999,03672099999,F6665,03772099999,03770099999"
london,2022-06-09,20.1,12.1,16.4,20.1,12.1,16.4,10.6,69.9,0.002,100,4.17,rain,0,0,38.2,22.3,243.6,1014.8,53.3,15,155,13.3,7,10,2022-06-09T04:44:22,2022-06-09T21:15:39,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-06-10,22.3,15.8,18.6,22.3,15.8,18.6,11.9,66.9,0.2,100,8.33,rain,0,0,48.6,28.8,226.1,1018.2,62.1,12.9,178.3,15.6,9,10,2022-06-10T04:43:59,2022-06-10T21:16:24,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-06-11,21.8,12.8,17.6,21.8,12.8,17.6,10.2,64.2,0,0,0,,0,0,44.6,27.2,241.7,1021.3,34.3,14.2,222,19.2,10,10,2022-06-11T04:43:40,2022-06-11T21:17:06,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-06-12,22.1,12,17.1,22.1,12,17.1,8.3,58,0,0,0,rain,0,0,41.8,24.2,276,1023.2,24.7,18,153.2,13.2,6,10,2022-06-12T04:43:23,2022-06-12T21:17:45,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2022-06-13,20.8,11.5,16.4,20.8,11.5,16.4,7,55.1,0,0,0,,0,0,24.8,13.1,298,1024.3,27.1,19.6,160,13.8,7,10,2022-06-13T04:43:09,2022-06-13T21:18:22,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
